timestamps,open,high,low,close,volume,amount
2025-08-23 12:00:00,0.23156,0.23529,0.23133,0.23528,89110437.0,20792018.0084
2025-08-23 13:00:00,0.23528,0.23824,0.23488,0.23779,90276397.0,21385809.64478
2025-08-23 14:00:00,0.23779,0.23881,0.23648,0.23857,70315025.0,16719002.6025
2025-08-23 15:00:00,0.23857,0.23937,0.23642,0.23722,61538563.0,14629727.65264
2025-08-23 16:00:00,0.23722,0.23978,0.23716,0.23839,84499679.0,20174057.62769
2025-08-23 17:00:00,0.23839,0.23887,0.23692,0.23818,44679419.0,10625045.84309
2025-08-23 18:00:00,0.23818,0.23835,0.23578,0.23614,45327451.0,10725988.05373
2025-08-23 19:00:00,0.23615,0.23735,0.23549,0.23616,34644564.0,8190925.26234
2025-08-23 20:00:00,0.23616,0.23903,0.23508,0.23683,72854441.0,17302307.54295
2025-08-23 21:00:00,0.23683,0.2369,0.23444,0.23523,53985478.0,12721411.29626
2025-08-23 22:00:00,0.23524,0.23704,0.2344,0.23563,53276438.0,12552293.74367
2025-08-23 23:00:00,0.23564,0.23715,0.23482,0.23645,42238234.0,9970878.30854
2025-08-24 00:00:00,0.23646,0.23686,0.23552,0.23641,30099539.0,7106142.86808
2025-08-24 01:00:00,0.23642,0.23755,0.2363,0.23654,48589486.0,11510105.59822
2025-08-24 02:00:00,0.23655,0.23727,0.23635,0.23686,12861463.0,3045638.66816
2025-08-24 03:00:00,0.23686,0.23758,0.23666,0.23736,8692522.0,2061455.04598
2025-08-24 04:00:00,0.23735,0.23753,0.23577,0.23642,9663224.0,2285442.37755
2025-08-24 05:00:00,0.23642,0.23644,0.2339,0.23481,30467241.0,7157238.89152
2025-08-24 06:00:00,0.23481,0.23625,0.23479,0.23604,15199635.0,3577240.37663
2025-08-24 07:00:00,0.23605,0.23679,0.2357,0.23631,12306507.0,2908202.71128
2025-08-24 08:00:00,0.23631,0.23833,0.23625,0.2378,29434888.0,6987356.68169
2025-08-24 09:00:00,0.2378,0.23789,0.23589,0.23707,26361673.0,6248418.21693
2025-08-24 10:00:00,0.23708,0.2379,0.23576,0.23602,36261756.0,8594919.67612
2025-08-24 11:00:00,0.23602,0.23693,0.235,0.2366,19075844.0,4497094.39029
2025-08-24 12:00:00,0.23661,0.2371,0.23559,0.23637,14457542.0,3417671.27887
2025-08-24 13:00:00,0.23637,0.23643,0.23481,0.23514,14014403.0,3301045.58514
2025-08-24 14:00:00,0.23514,0.23519,0.23193,0.23206,60418568.0,14097229.57286
2025-08-24 15:00:00,0.23205,0.23384,0.23199,0.23223,29775809.0,6934067.27788
2025-08-24 16:00:00,0.23223,0.2332,0.23134,0.2323,25228547.0,5861552.30678
2025-08-24 17:00:00,0.2323,0.23297,0.23139,0.23198,40070324.0,9300242.38445
2025-08-24 18:00:00,0.23198,0.23218,0.22934,0.22993,53069684.0,12223085.72705
2025-08-24 19:00:00,0.22993,0.23044,0.22826,0.22956,56053983.0,12850152.44569
2025-08-24 20:00:00,0.22956,0.23032,0.2292,0.23019,23328232.0,5361466.95823
2025-08-24 21:00:00,0.23018,0.23141,0.23002,0.23017,57474830.0,13265596.49436
2025-08-24 22:00:00,0.23017,0.23221,0.22925,0.23206,50973916.0,11770843.23102
2025-08-24 23:00:00,0.23205,0.23402,0.23078,0.23126,71391731.0,16598386.42989
2025-08-25 00:00:00,0.23126,0.2326,0.23039,0.23213,29456229.0,6819960.87328
2025-08-25 01:00:00,0.23213,0.23677,0.23205,0.23552,66508030.0,15611955.94109
2025-08-25 02:00:00,0.23552,0.24258,0.23496,0.24192,129671795.0,31098175.6529
2025-08-25 03:00:00,0.24192,0.24496,0.22927,0.23418,450575242.0,106441225.61518
2025-08-25 04:00:00,0.23418,0.23457,0.22858,0.23263,283694412.0,65784234.69679
2025-08-25 05:00:00,0.23264,0.23518,0.23088,0.23328,48610026.0,11315108.69193
2025-08-25 06:00:00,0.23328,0.23353,0.22761,0.23141,107961055.0,24783276.75213
2025-08-25 07:00:00,0.23142,0.23322,0.23116,0.23182,34747913.0,8076184.76026
2025-08-25 08:00:00,0.23182,0.23309,0.22542,0.22753,125305138.0,28590600.78925
2025-08-25 09:00:00,0.22753,0.23116,0.22724,0.22979,85727690.0,19677813.20157
2025-08-25 10:00:00,0.22978,0.23413,0.22964,0.23338,59560993.0,13856129.19924
2025-08-25 11:00:00,0.23337,0.23459,0.2304,0.23088,53411901.0,12430841.54054
2025-08-25 12:00:00,0.23088,0.23138,0.22837,0.22902,46215873.0,10608420.61315
2025-08-25 13:00:00,0.22903,0.22959,0.2266,0.22675,51172576.0,11654417.50621
2025-08-25 14:00:00,0.22673,0.22702,0.22246,0.22283,87691457.0,19709286.664
2025-08-25 15:00:00,0.22283,0.22417,0.21983,0.22077,123387436.0,27369467.9149
2025-08-25 16:00:00,0.22077,0.22167,0.21915,0.22094,98998627.0,21831848.51813
2025-08-25 17:00:00,0.22093,0.22123,0.21957,0.22111,46966428.0,10349976.99443
2025-08-25 18:00:00,0.22112,0.22112,0.21691,0.21844,110537594.0,24160834.15352
2025-08-25 19:00:00,0.21845,0.21974,0.21767,0.21967,57849774.0,12648903.0588
2025-08-25 20:00:00,0.21967,0.22092,0.21856,0.2209,55725990.0,12242039.13791
2025-08-25 21:00:00,0.22089,0.22089,0.21742,0.21896,150553640.0,32996980.92865
2025-08-25 22:00:00,0.21896,0.22117,0.21835,0.22027,71655877.0,15760551.44184
2025-08-25 23:00:00,0.22026,0.22057,0.21793,0.21849,46617280.0,10223487.30774
2025-08-26 00:00:00,0.2185,0.22043,0.21714,0.21813,64676792.0,14149351.91569
2025-08-26 01:00:00,0.21814,0.21925,0.21659,0.21854,41364670.0,9008939.12324
